780487.06055, 16335, 32719, 33663
785522.46094, 16335, 32727, 33664
790557.86133, 16328, 32735, 33679
795593.26172, 16328, 32734, 33665
800628.66211, 16340, 32727, 33666
805664.06250, 16335, 32728, 33676
810699.46289, 16326, 32728, 33667
815734.86328, 16332, 32728, 33674
820770.26367, 16331, 32731, 33673
825805.66406, 16335, 32723, 33652
830841.06445, 16339, 32721, 33667
835876.46484, 16323, 32723, 33674
840911.86523, 16328, 32732, 33663
845947.26562, 16339, 32719, 33667
850982.66602, 16324, 32724, 33671
856018.06641, 16323, 32728, 33667
861053.46680, 16332, 32728, 33675
866088.86719, 16331, 32723, 33679
871124.26758, 16336, 32728, 33671
876159.66797, 16332, 32728, 33671
881195.06836, 16326, 32728, 33671
886230.46875, 16327, 32734, 33671
891265.86914, 16319, 32734, 33667
896301.26953, 16337, 32732, 33676
901336.66992, 16339, 32729, 33665
906372.07031, 16340, 32726, 33667
911407.47070, 16332, 32732, 33667
916442.87109, 16321, 32732, 33676
921478.27148, 16335, 32728, 33672
926513.67188, 16342, 32724, 33656
931549.07227, 16332, 32732, 33671
936584.47266, 16329, 32721, 33683
941619.87305, 16342, 32719, 33660
946655.27344, 16321, 32726, 33654
951690.67383, 16338, 32720, 33668
956726.07422, 16331, 32731, 33672
961761.47461, 16332, 32732, 33656
966796.87500, 16321, 32731, 33667
971832.27539, 16331, 32726, 33679
976867.67578, 16331, 32716, 33672
981903.07617, 16335, 32734, 33657
986938.47656, 16335, 32726, 33671
991973.87695, 16339, 32726, 33675
997009.27734, 16337, 32726, 33668
1002044.67773, 16323, 32724, 33678
1007080.07812, 16348, 32720, 33661
1012115.47852, 16332, 32732, 33667
1017150.87891, 16339, 32727, 33665
1022186.27930, 16329, 32736, 33678
1027221.67969, 16332, 32720, 33662
1032257.08008, 16323, 32736, 33671
1037292.48047, 16318, 32735, 33672
1042327.88086, 16329, 32723, 33678
1047363.28125, 16328, 32728, 33664
1052398.68164, 16335, 32720, 33668
1057434.08203, 16332, 32714, 33671
1062469.48242, 16335, 32723, 33657
1067504.88281, 16316, 32735, 33680
1072540.28320, 16326, 32712, 33671
1077575.68359, 16327, 32721, 33671
1082611.08398, 16329, 32731, 33671
1087646.48438, 16332, 32727, 33669
1092681.88477, 16316, 32733, 33670
1097717.28516, 16335, 32726, 33675
1102752.68555, 16328, 32721, 33683
1107788.08594, 16333, 32723, 33659
1112823.48633, 16332, 32724, 33670
1117858.88672, 16334, 32728, 33665
1122894.28711, 16323, 32723, 33679
1127929.68750, 16327, 32723, 33667
1132965.08789, 16329, 32737, 33676
1138000.48828, 16329, 32734, 33659
1143035.88867, 16320, 32735, 33679
1148071.28906, 16335, 32721, 33681
1153106.68945, 16342, 32727, 33665
1158142.08984, 16331, 32732, 33678
1163177.49023, 16339, 32724, 33667
1168212.89062, 16321, 32736, 33667
1173248.29102, 16332, 32721, 33670
1178283.69141, 16335, 32729, 33664
1183319.09180, 16329, 32732, 33664
1188354.49219, 16323, 32727, 33663
1193389.89258, 16315, 32735, 33664
1198425.29297, 16329, 32734, 33671
1203460.69336, 16332, 32719, 33673
1208496.09375, 16332, 32728, 33672
1213531.49414, 16316, 32732, 33671
1218566.89453, 16332, 32723, 33676
1223602.29492, 16327, 32731, 33662
1228637.69531, 16336, 32723, 33667
1233673.09570, 16334, 32729, 33671
1238708.49609, 16331, 32728, 33667
1243743.89648, 16340, 32721, 33656
1248779.29688, 16318, 32728, 33668
1253814.69727, 16335, 32722, 33673
1258850.09766, 16336, 32728, 33665
1263885.49805, 16336, 32721, 33676
1268920.89844, 16339, 32726, 33672
1273956.29883, 16324, 32734, 33679
1278991.69922, 16332, 32727, 33662
1284027.09961, 16331, 32731, 33659
1289062.50000, 16326, 32733, 33662
1294097.90039, 16335, 32728, 33672
1299133.30078, 16310, 32728, 33667
1304168.70117, 16328, 32723, 33667
1309204.10156, 16337, 32721, 33660
1314239.50195, 16339, 32723, 33668
1319274.90234, 16331, 32728, 33676
1324310.30273, 16327, 32731, 33672
