0.00000, 8565401
5035.40039, 8514906
10070.80078, 8514334
15106.20117, 8516202
20141.60156, 8515840
25177.00195, 8515154
30212.40234, 8515040
35247.80273, 8514392
40283.20312, 8514506
45318.60352, 8515974
50354.00391, 8516221
55389.40430, 8514201
60424.80469, 8514449
65460.20508, 8516012
70495.60547, 8515268
75531.00586, 8515326
80566.40625, 8516450
85601.80664, 8516202
90637.20703, 8515707
95672.60742, 8517079
100708.00781, 8516660
105743.40820, 8516507
110778.80859, 8515154
115814.20898, 8515192
120849.60938, 8515840
125885.00977, 8515478
130920.41016, 8515402
135955.81055, 8515707
140991.21094, 8514849
146026.61133, 8514658
151062.01172, 8515154
156097.41211, 8514620
161132.81250, 8513648
166168.21289, 8513763
171203.61328, 8513953
176239.01367, 8513515
181274.41406, 8514620
186309.81445, 8515021
191345.21484, 8515002
196380.61523, 8515688
201416.01562, 8515745
206451.41602, 8514601
211486.81641, 8514944
216522.21680, 8515688
221557.61719, 8513972
226593.01758, 8514087
231628.41797, 8513858
236663.81836, 8513686
241699.21875, 8515459
246734.61914, 8516164
251770.01953, 8515078
256805.41992, 8514525
261840.82031, 8516298
266876.22070, 8515154
271911.62109, 8514868
276947.02148, 8515688
281982.42188, 8514392
287017.82227, 8514353
292053.22266, 8513324
297088.62305, 8514716
302124.02344, 8515764
307159.42383, 8515631
312194.82422, 8515345
317230.22461, 8514353
322265.62500, 8516641
327301.02539, 8513820
332336.42578, 8514639
337371.82617, 8515135
342407.22656, 8515287
347442.62695, 8515650
352478.02734, 8515173
357513.42773, 8516507
362548.82812, 8515554
367584.22852, 8515669
372619.62891, 8516069
377655.02930, 8517098
382690.42969, 8515707
387725.83008, 8516889
392761.23047, 8517308
397796.63086, 8517079
402832.03125, 8516069
407867.43164, 8516088
412902.83203, 8514392
417938.23242, 8516793
422973.63281, 8516431
428009.03320, 8516012
433044.43359, 8514582
438079.83398, 8513858
443115.23438, 8515040
448150.63477, 8513972
453186.03516, 8513972
458221.43555, 8515726
463256.83594, 8513743
468292.23633, 8514487
473327.63672, 8512924
478363.03711, 8515059
483398.43750, 8514087
488433.83789, 8514525
493469.23828, 8514353
498504.63867, 8515059
503540.03906, 8514010
508575.43945, 8512867
513610.83984, 8514468
518646.24023, 8515878
523681.64062, 8514220
528717.04102, 8515840
533752.44141, 8515707
538787.84180, 8516622
543823.24219, 8515859
548858.64258, 8514144
553894.04297, 8514830
558929.44336, 8513572
563964.84375, 8513858
569000.24414, 8514468
574035.64453, 8514658
579071.04492, 8515040
584106.44531, 8513553
589141.84570, 8513648
594177.24609, 8511570
599212.64648, 8514163
604248.04688, 8513458
609283.44727, 8513763
614318.84766, 8515173
619354.24805, 8515211
624389.64844, 8514277
